dataset,ordinal,column,pandas_dtype,semantic_type,n_unique,n_missing,missing_token,constant,example_values,description,description_source,shared_concept,phase2_disposition
toniot,22,dns_RA,object,binary-flag,3,176030,'-',False,-|F|T,"DNS recursion-available flag (T/F), '-' when not a DNS flow.",Network Features-Description.pdf #23,,drop-unmapped
toniot,23,dns_rejected,object,binary-flag,3,176030,'-',False,-|F|T,"DNS query rejected by the server (T/F), '-' when not a DNS flow.",Network Features-Description.pdf #24,,drop-unmapped
toniot,24,ssl_version,object,categorical,4,210642,'-',False,-|TLSv12|TLSv13|TLSv10,SSL/TLS version offered by the server.,Network Features-Description.pdf #25,,unused
toniot,25,ssl_cipher,object,categorical,6,210642,'-',False,withheld (licence/PII); 6 distinct,SSL cipher suite chosen by the server.,Network Features-Description.pdf #26,,unused
toniot,26,ssl_resumed,object,binary-flag,3,210642,'-',False,-|F|T,SSL session-resumption flag (T/F).,Network Features-Description.pdf #27,,unused
toniot,27,ssl_established,object,binary-flag,3,210642,'-',False,-|F|T,SSL connection-established flag (T/F).,Network Features-Description.pdf #28,,unused
toniot,28,ssl_subject,object,free-text,6,211032,'-',False,withheld (licence/PII); 6 distinct,Subject of the X.509 certificate offered by the server.,Network Features-Description.pdf #29,,unused
toniot,29,ssl_issuer,object,free-text,5,211032,'-',False,withheld (licence/PII); 5 distinct,Certificate-authority owner/originator of the SSL certificate.,Network Features-Description.pdf #30,,unused
toniot,30,http_trans_depth,object,numeric-count,11,210740,'-',False,-|1|2|10|3|4|5|6|7|8|9,Pipelined depth into the HTTP connection. Object dtype because '-' is the not-applicable sentinel.,Network Features-Description.pdf #31,,unused
toniot,31,http_method,object,categorical,4,210756,'-',False,-|GET|POST|HEAD,"HTTP request method (GET, POST, HEAD).",Network Features-Description.pdf #32,,unused
toniot,32,http_uri,object,free-text,86,210756,'-',False,withheld (licence/PII); 86 distinct,URI used in the HTTP request.,Network Features-Description.pdf #33,,unused
toniot,33,http_version,object,categorical,2,210745,'-',False,-|1.1,HTTP version used.,Network Features-Description.pdf #35 (doc skips ID 34),,unused
toniot,34,http_request_body_len,int64,numeric-count,6,211027,0 (not-applicable sentinel),False,0-2338,Uncompressed content size transferred from the HTTP client.,Network Features-Description.pdf #36,,unused
toniot,35,http_response_body_len,int64,numeric-count,75,210766,0 (not-applicable sentinel),False,0-13424384,Uncompressed content size transferred from the HTTP server.,Network Features-Description.pdf #37,,unused
toniot,36,http_status_code,int64,categorical,8,210745,0 (not-applicable sentinel),False,0-404,HTTP status code returned by the server; 0 is the not-applicable sentinel.,Network Features-Description.pdf #38,,unused
toniot,37,http_user_agent,object,free-text,35,210756,'-',False,withheld (licence/PII); 35 distinct,HTTP User-Agent header value. Doc types this 'Number'; it is a string.,Network Features-Description.pdf #39 (type in doc is wrong),,unused
toniot,38,http_orig_mime_types,object,categorical,3,211027,'-',False,withheld (licence/PII); 3 distinct,Ordered vector of MIME types from the source system.,Network Features-Description.pdf #40,,unused
toniot,39,http_resp_mime_types,object,categorical,10,210839,'-',False,withheld (licence/PII); 10 distinct,Ordered vector of MIME types from the destination system.,Network Features-Description.pdf #41,,unused
toniot,40,weird_name,object,categorical,11,210687,'-',False,withheld (licence/PII); 11 distinct,Name of the Zeek protocol anomaly/violation observed.,Network Features-Description.pdf #42,,unused
toniot,41,weird_addl,object,free-text,3,210886,'-',False,withheld (licence/PII); 3 distinct,Additional information associated with the protocol anomaly.,Network Features-Description.pdf #43,,unused
toniot,42,weird_notice,object,binary-flag,2,210687,'-',False,-|F,Whether the violation/anomaly was turned into a Zeek notice.,Network Features-Description.pdf #44,,unused
toniot,43,label,int64,label,2,0,none observed,False,0-1,"0 indicates normal, 1 indicates attack.",Network Features-Description.pdf #45,,label
toniot,44,type,object,label,10,0,none observed,False,normal|backdoor|ddos|dos|injection|password|ransomware|scanning|xss|mitm,Attack category tag ('normal' plus nine attack families).,Network Features-Description.pdf #46,,label
